# Translations for Path of Exile 1.
# The first line defines the order of languages. Every line after contains a translation.
# Append ".png" to the English name to resolve the image name. Language names resolve to flag icons the same way.
English, French, German, Japanese, Portuguese, Russian, Spanish, Thai, Tag
Exceptional Eldritch Ichor, Ichor surnaturel exceptionnel, Bedeutender übernatürlicher Ichor, エルドリッチイコル（希少）, Fluido Ancestral Excepcional, Превосходный зловещий ихор, Icor sobrenatural excepcional, น้ำหนองผิดธรรมชาติชั้นยอด, exceptional-eldritch-ichor
Tattoo of the Ramako Sniper, Tatouage du Tireur d'élite de Ramako, Tätowierung des Ramako-Heckenschützen, ラマコの狙撃手のタトゥー, Tatuagem do Atirador de Ramako, Татуировка Снайпера Рамако, Tatuaje de tirador de Ramako, ลายสัก นักซุ่มยิงรามาโค, tattoo-of-the-ramako-sniper
Forgotten Reliquary Key, Clé du Reliquaire oubliée, Schlüssel zur Vergessenen Reliquienkammer, 忘れ去られた聖廟の鍵, Chave do Relicário Esquecido, Ключ от Забытого Реликвария, Llave del Relicario olvidado, กุญแจคลังวัตถุโบราณที่ถูกลืม, forgotten-reliquary-key
Tattoo of the Kitava Blood Drinker, Tatouage du Buveur de sang de Kitava, Tätowierung des Kitava-Bluttrinkers, キタヴァの血飲みのタトゥー, Tatuagem Hematofágica de Kitava, Татуировка Кровопийцы Китавы, Tatuaje de bebedor de sangre de Kitava, ลายสัก ผู้ดื่มเลือดคิทาวา, tattoo-of-the-kitava-blood-drinker
Essence Scarab of Stability, Scarabée d'Essence de la Stabilité, Essenz-Skarabäus der Stabilität, 安定のエッセンススカラベ, Escaravelho da Essência da Estabilidade, Скарабей Сущности стабильности, Escarabajo de esencia de estabilidad, สคารับเอสเซนส์ แห่งเสถียรภาพ, essence-scarab-of-stability
Screaming Essence of Wrath, Essence hurlante de Fureur, Schreiende Essenz des Zorns, 叫びのエッセンス（憤怒）, Essência da Ira Gritante, Кричащая сущность гнева, Esencia berreante de ira, Screaming Essence of Wrath, screaming-essence-of-wrath
Titanic Scarab of Treasures, Scarabée titanesque des Trésors, Titanischer Skarabäus der Schätze, 財宝のタイタンのスカラベ, Escaravelho Titânico dos Tesouros, Титанический скарабей сокровищ, Escarabajo titánico de tesoros, สคารับมหึมา แห่งสมบัติ, titanic-scarab-of-treasures
Vaal Orb, Orbe vaal, Vaalsphäre, ヴァールオーブ, Orbe Vaal, Сфера ваал, Orbe vaal, Vaal Orb, vaal
Hinekora's Lock, Mèche de cheveux d'Hinekora, Hinekoras Locke, ヒネコラの髪の束, Cacho de Hinekora, Прядь Хинекоры, Mechón de Hinekora, ปอยผมของฮิเนโครา, hinekoras-lock
Fragment of Purification, Fragment de la Purification, Fragment der Läuterung, 浄化の断片, Fragmento do Purificador, Фрагмент искупления, Fragmento de purificación, ชิ้นส่วนชำระล้าง, fragment-of-purification
Maven's Chisel of Scarabs, Burin de la Prodige des Scarabées, Seherinmeißel der Skarabäen, メイヴェンのスカラベのたがね, Cinzel da Maven dos Escaravelhos, Резец Мейвен скарабеев, Cincel de la Especialista de escarabajos, สิ่วเมเวน แห่งสคารับ, mavens-chisel-of-scarabs
Ritual Scarab of Abundance, Scarabée de Rituel de l'Abondance, Ritual-Skarabäus des Überflusses, 豊富なリチュアルスカラベ, Escaravelho do Ritual da Abundância, Ритуальный скарабей изобилия, Escarabajo de ritual de abundancia, สคารับพิธีกรรม แห่งความล้นเหลือ, ritual-scarab-of-abundance
Xoph's Breachstone, Pierre de Brèche de Xoph, Xophs Riss-Stein, ゾフのブリーチストーン, Pedra da Fenda de Xoph, Камень Разлома Ксофа, Piedra de fisura de Xoph, ศิลาบรีชแห่งซอปห์, xophs-breachstone
Omen of Blanching, Présage de blanchiment, Omen des Bleichens, 白化のお告げ, Presságio da Albificação, Предсказание обеления, Augurio de blanqueamiento, ลางบอกเหตุล้างสี, omen-of-blanching
Engineer's Orb, Orbe d'ingénieur, Sphäre des Ingenieurs, 技師のオーブ, Orbe do Engenheiro, Сфера инженера, Orbe del ingeniero, Engineer's Orb, engineers
Orb of Dominance, Orbe de domination, Sphäre der Beherrschung, 優性のオーブ, Orbe do Domínio, Сфера господства, Orbe de dominancia, ลูกแก้วครอบงำ, mavens-orb
Sacred Blossom, Floraison sacrée, Heilige Blüte, 聖なる花, Flor Sagrada, Священное соцветие, Brote sagrado, ดอกศักดิ์สิทธิ์, sacred-blossom
Torment Scarab of Peculiarity, Scarabée du Tourment de la Particularité, Folter-Skarabäus der Absonderlichkeit, 異様なトーメントスカラベ, Escaravelho Atormentado da Peculiaridade, Скарабей Мучения своеобразия, Escarabajo de tormento de peculiaridad, สคารับผีตายโหง แห่งความประหลาด, torment-scarab-of-peculiarity
Fragment of Shape, Fragment du Façonnement, Fragment der Schöpfung, 具現の断片, Fragmento de Forma, Фрагмент формы, Fragmento de forma, ชิ้นส่วนรูปร่าง, fragment-of-shape
Veritania's Crest, Insigne de Véritania, Wappen von Veritiana, ヴェリタニアの紋章, Coroa de Veritania, Герб Веритании, Emblema de Veritania, ตราของเวริทาเนีย, veritanias-crest
Harbinger's Orb, Orbe de Précurseur, Sphäre des Vorboten, ハービンジャーのオーブ, Orbe do Emissário, Сфера Предвестника, Orbe del heraldo, Harbinger's Orb, harbingers-orb
Orb of Conflict, Orbe du conflit, Sphäre des Konflikts, 対立のオーブ, Orbe do Conflito, Сфера вражды, Orbe de conflicto, ลูกแก้วปรปักษ์, orb-of-conflict
Weeping Essence of Sorrow, Essence larmoyante de Chagrin, Wimmernde Essenz der Trauer, 嘆きのエッセンス（悲哀）, Essência da Mágoa Lamuriante, Плачущая сущность печали, Esencia llorosa de pena, Weeping Essence of Sorrow, weeping-essence-of-sorrow
Muttering Essence of Contempt, Essence chuchotante de Dédain, Murmelnde Essenz der Verachtung, 呟きのエッセンス（侮蔑）, Essência da Desgraça Murmurante, Бормочущая сущность презрения, Esencia murmurante de desprecio, Muttering Essence of Contempt, muttering-essence-of-contempt
Fundamental Fossil, Fossile fondamental, Fundamentales Fossil, 基本的な化石, Fóssil Fundamental, Фундаментальное ископаемое, Fósil fundamental, Fundamental Fossil, fundamental-fossil
Decaying Reliquary Key, Clé du Reliquaire délabré, Schlüssel zur Zerfallenden Reliquienkammer, 崩壊の聖廟の鍵, Chave do Relicário Decadente, Ключ от Разлагающегося Реликвария, Llave del Relicario de decaimiento, กุญแจคลังวัตถุโบราณเสื่อมสลาย, decaying-reliquary-key
Sacrifice at Dawn, Sacrifice à l'aube, Opfergabe bei Morgendämmerung, 黎明の生贄, Sacrifício ao Amanhecer, Жертва на рассвете, Sacrificio al amanecer, สังเวยย่ำอรุณ, dawn
Screaming Essence of Hatred, Essence hurlante de Haine, Schreiende Essenz des Hasses, 叫びのエッセンス（憎悪）, Essência do Ódio Gritante, Кричащая сущность ненависти, Esencia berreante de odio, Screaming Essence of Hatred, screaming-essence-of-hatred
Mirror of Kalandra, Miroir de Kalandra, Spiegel von Kalandra, カランドラの鏡, Espelho de Kalandra, Зеркало Каландры, Espejo de Kalandra, Mirror of Kalandra, mirror
Eldritch Orb of Annulment, Orbe d'annulation surnaturel, Übernatürliche Sphäre der Annullierung, エルドリッチの消去のオーブ, Orbe Ancestral da Anulação, Мистическая сфера отмены, Orbe de anulación sobrenatural, Eldritch Orb of Annulment, eldritch-orb-of-annulment
Sacred Crystallised Lifeforce, Force vitale sacrée cristallisée, Heilige kristallisierte Lebenskraft, 結晶化した聖なるライフフォース, Força Vital Cristalizada Sagrada, Священная кристализованная жизненная сила, Fuerza vital sagrada cristalizada, ผลึกพลังแห่งชีวิตศักดิ์สิทธิ์, sacred-lifeforce
Tattoo of the Rongokurai Warrior, Tatouage du Guerrier de Rongokurai, Tätowierung des Rongokurai-Kriegers, ロンゴクライの戦士のタトゥー, Tatuagem do Guerreiro de Rongokurai, Татуировка Воина Ронгокураи, Tatuaje de guerrero de Rongokurai, ลายสัก นักรบรอนโงคูรัย, tattoo-of-the-rongokurai-warrior
Beyond Scarab of the Invasion, Scarabée d'Ailleurs de l'Invasion, Jenseits-Skarabäus der Invasion, 侵略のビヨンドスカラベ, Escaravelho do Além da Invasão, Скарабей Иномирья вторжения, Escarabajo del más allá de invasión, สคารับต่างมิติ แห่งการรุกราน, beyond-scarab-of-the-invasion
Weeping Essence of Torment, Essence larmoyante  de Tourment, Wimmernde Essenz der Folter, 嘆きのエッセンス（苦悩）, Essência do Tormento Lamuriante, Плачущая сущность мучения, Esencia llorosa de tormento, Weeping Essence of Torment, weeping-essence-of-torment
Mirror Shard, Éclat de miroir, Spiegelscherbe, 鏡の欠片, Lasca do Espelho, Осколок зеркала, Esquirla de espejo, ชิ้นส่วน Mirror, mirror-shard
Abyssal Delirium Orb, Orbe abyssal de Délire, Abgründige Sphäre des Deliriums, アビスのデリリウムオーブ, Orbe Delirante Abissal, Бездонная сфера Делириума, Orbe de delirio abisal, ลูกแก้วเดลิเรียมเบื้องลึก, abyssal-delirium-orb
Celestial Jeweller's Incubator, Incubateur du joaillier céleste, Himmlischer Inkubator des Goldschmieds, 天上の宝飾職人のインキュベーター, Incubador Celestial do Joalheiro, Небесный инкубатор ювелира, Incubadora celestial del joyero, ตัวบ่มฟักช่างอัญมณีดวงดาว, celestial-jewellers-incubator
Enkindling Orb, Orbe chauffant, Sphäre der Potenzierung, 濃縮のオーブ, Orbe Incandescente, Растопляющая сфера, Orbe de estimulación, Enkindling Orb, enkindling-orb
Screaming Essence of Anguish, Essence hurlante d'Angoisse, Schreiende Essenz der Qual, 叫びのエッセンス（苦悶）, Essência da Agonia Gritante, Кричащая сущность горя, Esencia berreante de angustia, Screaming Essence of Anguish, screaming-essence-of-anguish
Anarchy Scarab, Scarabée d'Anarchie, Anarchie-Skarabäus, アナーキースカラベ, Escaravelho da Anarquia, Скарабей Анархии, Escarabajo de anarquía, สคารับเอ็กไซล์อันธพาล, anarchy-scarab
Orb of Unmaking, Orbe de démantèlement, Sphäre der Umkehr, 解除のオーブ, Orbe da Restituição, Сфера небытия, Orbe de destrucción, Orb of Unmaking, orb-of-unmaking
Hunter's Exalted Orb, Orbe exalté du Chasseur, Erhabene Sphäre des Jägers, ハンターの高貴なオーブ, Orbe Exaltado do Caçador, Сфера возвышения охотника, Orbe exaltado del Cazador, Hunter's Exalted Orb, hunters-exalted-orb
Awakener's Orb, Orbe de l'Éveilleur, Sphäre des Erweckers, 覚醒者のオーブ, Orbe do Despertar, Сфера Пробудителя, Orbe del despertar, Awakener's Orb, awakeners-orb
Black Oil, Huile ébène, Schwarzes Öl, 黒色のオイル, Óleo Negro, Чёрное масло, Aceite negro, Black Oil, black-oil
Shuddering Fossil, Fossile frémissant, Schauderndes Fossil, 震動する化石, Fóssil Estremecedor, Дрожащее ископаемое, Fósil vibrante, Shuddering Fossil, shuddering-fossil
Bloodstained Fossil, Fossile taché de sang, Blutbeflecktes Fossil, 血塗れの化石, Fóssil Ensanguentado, Окровавленное ископаемое, Fósil ensangrentado, Bloodstained Fossil, bloodstained-fossil
Deafening Essence of Greed, Essence assourdissante d'Avarice, Ohrenbetäubende Essenz der Gier, 慟哭のエッセンス（貪欲）, Essência da Ganância Ensurdecedora, Оглушающая сущность жадности, Esencia ensordecedora de avaricia, Deafening Essence of Greed, deafening-essence-of-greed
Legion Scarab of Command, Scarabée de Légion du Commandement, Legion-Skarabäus der Befehlsgewalt, 指令のリージョンスカラベ, Escaravelho da Legião do Comando, Скарабей Легиона командования, Escarabajo de legión de comando, สคารับกองพัน แห่งการบัญชา, legion-scarab-of-command
Tainted Divine Teardrop, Larme divine impure, Korrosive Göttliche Träne, 汚染された神の涙, Lágrima Divina Corroída, Порочная божественная слеза, Lágrima divina contaminada, Tainted Divine Teardrop, tainted-divine-teardrop
Tattoo of the Ngamahu Firewalker, Tatouage du Marche-feu de Ngamahu, Tätowierung des Ngamahu-Feuerläufers, ナマフの火歩きのタトゥー, Tatuagem do Andarilho Flamejante de Ngamahu, Татуировка Огненного ходока Нгамаху, Tatuaje del caminante de fuego Ngamahu, ลายสัก ผู้ก้าวเพลิงนามาฮู, tattoo-of-the-ngamahu-firewalker
Beyond Scarab of Haemophilia, Scarabée d'Ailleurs de l'Hémophilie, Jenseits-Skarabäus der Hämophilie, 血友病のビヨンドスカラベ, Escaravelho do Além da Hemofilia, Скарабей Иномирья кровопотери, Escarabajo del más allá de hemofilia, สคารับต่างมิติ แห่งฮีโมฟิเลีย, beyond-scarab-of-haemophilia
Deafening Essence of Rage, Essence assourdissante de Rage, Ohrenbetäubende Essenz der Rage, 慟哭のエッセンス（激怒）, Essência da Raiva Ensurdecedora, Оглушающая сущность ярости, Esencia ensordecedora de furia, Deafening Essence of Rage, deafening-essence-of-rage
Timeless Eternal Empire Splinter, Esquille intemporelle de l'Empire éternel, Immerwährender Splitter des Ewigen Kaiserreichs, 永遠なる帝国の時知らずの破片, Lasca Atemporal do Império Eterno, Вневременной осколок Вечной Империи, Fragmento atemporal del imperio eterno, ชิ้นส่วนจักรวรรดินิรันดร์เหนือกาลเวลา, timeless-eternal-empire-splinter
Visceral Reliquary Key, Clé du Reliquaire viscérale, Schlüssel zur Viszeralen Reliquienkammer, 内臓の聖廟の鍵, Chave do Relicário Visceral, Ключ от Внутриутробного Реликвария, Llave del Relicario visceral, กุญแจคลังวัตถุโบราณเครื่องใน, visceral-reliquary-key
Legion Scarab of Eternal Conflict, Scarabée de Légion du Conflit éternel, Legion-Skarabäus des Ewigen Konflikts, 永遠なる紛争のリージョンスカラベ, Escaravelho da Legião do Conflito Eterno, Скарабей Легиона вечной войны, Escarabajo de legión de conflicto eterno, สคารับกองพัน แห่งความขัดแย้งชั่วนิรันดร์, legion-scarab-of-eternal-conflict
Horned Scarab of Glittering, Scarabée cornu du Scintillement, Gehörnter Skarabäus des Glitzerns, 煌煌の有角のスカラベ, Escaravelho Chifrudo do Brilho, Рогатый скарабей переливов, Escarabajo cornudo de brillos, สคารับมีเขา แห่งความแวววาว, horned-scarab-of-glittering
Prismatic Catalyst, Catalyseur prismatique, Prismatischer Katalysator, プリズムのカタリスト, Catalisador Prismático, Радужный катализатор, Catalizador prismático, Prismatic Catalyst, prismatic-catalyst
Essence Scarab, Scarabée d'Essence, Essenz-Skarabäus, エッセンススカラベ, Escaravelho da Essência, Скарабей Сущности, Escarabajo de esencia, สคารับเอสเซนส์, essence-scarab
Fragment of the Chimera, Fragment de la Chimère, Fragment der Chimäre, キメラの断片, Fragmento da Quimera, Фрагмент Химеры, Fragmento de la quimera, ชิ้นส่วนไคมีรา, chimer
Ancient Reliquary Key, Clé du Reliquaire antique, Schlüssel zur Uralten Reliquienkammer, 古代の聖廟の鍵, Chave do Relicário Antigo, Ключ от Древнего Реликвария, Llave del Relicario antiguo, กุญแจคลังวัตถุโบราณเก่าแก่, ancient-reliquary-key
Facetor's Lens, Lentille de ciseleur, Linse des Facettenschleifers, 宝石加工のレンズ, Lente Armazenadora, Линза награнения, Lente del facetador, Facetor's Lens, facetors
Wailing Essence of Hatred, Essence gémissante de Haine, Klagende Essenz des Hasses, 呻きのエッセンス（憎悪）, Essência do Ódio Lamentante, Вопящая сущность ненависти, Esencia lamentosa de odio, Wailing Essence of Hatred, wailing-essence-of-hatred
Wailing Essence of Torment, Essence gémissante de Tourment, Klagende Essenz der Folter, 呻きのエッセンス（苦悩）, Essência do Tormento Lamentante, Вопящая сущность мучения, Esencia lamentosa de tormento, Wailing Essence of Torment, wailing-essence-of-torment
Potent Chaotic Resonator, Résonateur chaotique fort, Wirkungsvoller chaotischer Resonator, 効果的な混沌のレゾネーター, Ressonador Caótico Potente, Активный хаотический резонатор, Resonador caótico potente, ตัวสั่นพ้องโกลาหลมีศักยภาพ, potent-chaotic-resonator
Fragment of Emptiness, Fragment du Vide, Fragment der Leere, 空虚の断片, Fragmento do Vazio, Фрагмент пустоты, Fragmento de vacío, ชิ้นส่วนว่างเปล่า, fragment-of-emptiness
Cartographer's Incubator, Incubateur cartographique, Inkubator des Kartographen, 地図職人のインキュベーター, Incubador do Cartógrafo, Инкубатор картографа, Incubadora del cartógrafo, ตัวบ่มฟักนักเขียนแผนที่, cartographers-incubator
Stacked Deck, Bonne pioche, Kartenstapel, 細工されたデッキ, Baralho Fechado, Колода карт, Baraja apilada, สำรับไพ่ปริศนา, stacked-deck
Reflecting Mist, Brume réfléchissante, Spiegelnder Nebel, 反射する霧, Névoa Refletiva, Отражающий туман, Niebla reflejante, หมอกสะท้อนภาพ, reflecting-mist
Harbinger Scarab of Regency, Scarabée de Précurseur de la Régence, Vorboten-Skarabäus der Herrschaft, 摂政のハービンジャースカラベ, Escaravelho do Emissário da Regência, Скарабей Предвестника регентства, Escarabajo de heraldo de regencia, สคารับฮาร์บินเจอร์ แห่งอุปราช, harbinger-scarab-of-regency
Orb of Scouring, Orbe de suppression, Sphäre der Läuterung, 洗浄のオーブ, Orbe do Expurgo, Сфера очищения, Orbe de purga, Orb of Scouring, scour
Harbinger's Shard, Éclat de Précurseur, Scherbe des Vorboten, ハービンジャーの欠片, Lasca do Emissário, Осколок Предвестника, Esquirla del heraldo, ชิ้นส่วน Harbinger, harbingers-shard
Cosmic Fragment, Fragment cosmique, Kosmisches Fragment, 宇宙の断片, Fragmento Cósmico, Космический фрагмент, Fragmento cósmico, ชิ้นส่วนจักรวาล, cosmic-fragment
Hollow Fossil, Fossile creux, Hohles Fossil, 中空の化石, Fóssil Côncavo, Пустое ископаемое, Fósil hueco, Hollow Fossil, hollow-fossil
Beauty, Beauté, Schönheit, 美しさ, Beleza, Красота, Belleza, Beauty, beauty
Power Rune, Rune du Pouvoir, Machtrune, 力のルーン, Runa Poderosa, Руна Силы, Runa de poder, อักขระพลัง, power-rune
An Audience With The King, Une Audience avec le Roi, Eine Audienz beim König, 王への謁見, Uma Audiência com o Rei, Встреча с Хозяином, Una audiencia con el rey, เข้าเฝ้าราชัน, an-audience-with-the-king
Muttering Essence of Hatred, Essence chuchotante de Haine, Murmelnde Essenz des Hasses, 呟きのエッセンス（憎悪）, Essência do Ódio Murmurante, Бормочущая сущность ненависти, Esencia murmurante de odio, Muttering Essence of Hatred, muttering-essence-of-hatred
Deafening Essence of Woe, Essence assourdissante d'Affliction, Ohrenbetäubende Essenz des Kummers, 慟哭のエッセンス（悲痛）, Essência da Angústia Ensurdecedora, Оглушающая сущность скорби, Esencia ensordecedora de aflicción, Deafening Essence of Woe, deafening-essence-of-woe
Tattoo of the Arohongui Moonwarden, Tatouage du Garde-lune d'Arohongui, Tätowierung des Arohongui-Mondwächters, アロホングイの月の監視者のタトゥー, Tatuagem do Guarda Lunar de Aronhongui, Татуировка Хранителя луны Арохонгуи, Tatuaje de guardián de la luna de Arohongui, ลายสัก ผู้คุมดวงจันทร์อะโรฮอนงุย, tattoo-of-the-arohongui-moonwarden
Ambition, Ambition, Ambition, 野心, Ambição, Стремление, Ambición, Ambition, ambition
Breach Scarab of Snares, Scarabée de Brèche du Guet-apens, Riss-Skarabäus der Fallen, 罠のブリーチスカラベ, Escaravelho da Fenda dos Aprisionamentos, Скарабей Разлома ловушек, Escarabajo de fisura de trampas, สคารับบรีช แห่งหลุมพราง, breach-scarab-of-snares
Oubliette Reliquary Key, Clé des Oubliettes du Reliquaire, Schlüssel zur Kerker-Reliquienkammer, 牢獄の聖廟の鍵, Chave do Relicário Oubliette, Ключ от Реликвария забвения, Llave del Relicario de mazmorra, กุญแจคลังวัตถุโบราณห้องขังลืม, oubliette-reliquary-key
Frigid Fossil, Fossile glacé, Eisiges Fossil, 極寒の化石, Fóssil Frígido, Ледяное ископаемое, Fósil helado, Frigid Fossil, frigid-fossil
Deafening Essence of Doubt, Essence assourdissante d'Incertitude, Ohrenbetäubende Essenz des Zweifels, 慟哭のエッセンス（疑心）, Essência da Hesitação Ensurdecedora, Оглушающая сущность сомнения, Esencia ensordecedora de duda, Deafening Essence of Doubt, deafening-essence-of-doubt
Reflective Oil, Huile réfléchissante, Spiegelndes Öl, 反射するオイル, Óleo Reflexivo, Зеркальное масло, Aceite reflector, Reflective Oil, reflective-oil
Dense Fossil, Fossile dense, Dichtes Fossil, 不透明な化石, Fóssil Denso, Плотное ископаемое, Fósil denso, Dense Fossil, dense-fossil
Delirium Scarab of Mania, Scarabée du Délire de la Folie, Delirium-Skarabäus des Wahns, 躁病のデリリウムスカラベ, Escaravelho do Delírio da Mania, Скарабей Делириума мании, Escarabajo de delirio de manía, สคารับเดลิเรียม แห่งภาวะคลุ้มคลั่ง, delirium-scarab-of-mania
Skittering Incubator, Incubateur grouillant, Huschender Inkubator, 這い回るインキュベーター, Incubador Deslizante, Дергающийся инкубатор, Incubadora de insectos, ตัวบ่มฟักเสียงแมลง, skittering-incubator
Tattoo of the Valako Shieldbearer, Tatouage du Porte-bouclier de Valako, Tätowierung des Valako-Schildknappen, ヴァラコのシールドベアラーのタトゥー, Tatuagem do Escudeiro de Valako, Татуировка Щитоносца Валако, Tatuaje de portador de escudo de Valako, ลายสัก ผู้ถือโล่วาลาโค, tattoo-of-the-valako-shieldbearer
Chromatic Orb, Orbe chromatique, Färbungssphäre, 色彩のオーブ, Orbe Cromático, Цветная сфера, Orbe cromático, Chromatic Orb, chrome
Journey Rune, Rune du Voyage, Reiserune, 旅のルーン, Runa Viajante, Руна Странствия, Runa de viaje, อักขระสัญจร, journey-rune
Betrayal Scarab of Perpetuation, Scarabée du Syndicat de la Perpétuation, Syndikat-Skarabäus der Aufrechterhaltung, 永続化のビトレイアルスカラベ, Escaravelho da Traição da Perpetuação, Скарабей Предательства увековечения, Escarabajo de traición de perpetuidad, สคารับองค์กรทรยศ แห่งการยืดเวลา, betrayal-scarab-of-perpetuation
Ultimatum Scarab, Scarabée d'Ultimatum, Ultimatum-Skarabäus , アルティメイタムスカラベ, Escaravelho do Ultimato, Скарабей Ультиматума, Escarabajo de ultimátum, สคารับคำขาด, ultimatum-scarab
Muttering Essence of Sorrow, Essence chuchotante de Chagrin, Murmelnde Essenz der Trauer, 呟きのエッセンス（悲哀）, Essência da Mágoa Murmurante, Бормочущая сущность печали, Esencia murmurante de pena, Muttering Essence of Sorrow, muttering-essence-of-sorrow
Shrieking Essence of Misery, Essence stridente de Détresse, Kreischende Essenz des Elends, 喚きのエッセンス（悲惨）, Essência da Miséria Berrante, Визжащая сущность тоски, Esencia chillante de miseria, Shrieking Essence of Misery, shrieking-essence-of-misery
Divination Scarab of Plenty, Scarabée de Divination de l'Abondance, Weissagungs-Skarabäus des Überflusses, 豊富な占いのスカラベ, Escaravelho da Adivinhação da Abundância, Скарабей предсказания изобилия, Escarabajo de adivinación de abundancia, สคารับไพ่พยากรณ์ แห่งความเหลือเฟือ, divination-scarab-of-plenty
Tattoo of the Tasalio Scout, Tatouage de l'Éclaireur de Tasalio, Tätowierung des Tasalio-Spähers, タサリオの偵察者のタトゥー, Tatuagem do Batedor de Tasalio, Татуировка Разведчика Тасалио, Tatuaje de explorador de Tasalio, ลายสัก นักสอดแนมทาเซลีโอ, tattoo-of-the-tasalio-scout
Abyss Scarab of Multitudes, Scarabée de l'Abysse des Multitudes, Abgrund-Skarabäus der Vielzahl, 多数のアビススカラベ, Escaravelho do Abismo das Multidões, Скарабей Бездны множеств, Escarabajo de abismo de multitudes, สคารับอะบิส แห่งความมากมาย, abyss-scarab-of-multitudes
Weeping Essence of Greed, Essence larmoyante d'Avarice, Wimmernde Essenz der Gier, 嘆きのエッセンス（貪欲）, Essência da Ganância Lamuriante, Плачущая сущность жадности, Esencia llorosa de avaricia, Weeping Essence of Greed, weeping-essence-of-greed
Expedition Scarab of Archaeology, Scarabée d'Expédition de l'Archéologie, Expedition-Skarabäus der Archäologie, 考古学のエクスペディションスカラベ, Escaravelho da Expedição da Arqueologia, Скарабей Экспедиции археологии, Escarabajo de expedición de arqueología, สคารับกองสำรวจ แห่งโบราณคดี, expedition-scarab-of-archaeology
Splinter of Xoph, Esquille de Xoph, Xophs Splitter, ゾフの破片, Lasca de Xoph, Осколок Ксофа, Astilla de Xoph, ชิ้นส่วนซอปห์, splinter-xoph
Prismatic Fossil, Fossile prismatique, Prismatisches Fossil, プリズムの化石, Fóssil Prismático, Радужное ископаемое, Fósil prismático, Prismatic Fossil, prismatic-fossil
Delirium Scarab of Paranoia, Scarabée du Délire de la Paranoïa, Delirium-Skarabäus der Paranoia, 偏執症のデリリウムスカラベ, Escaravelho do Delírio da Paranóia, Скарабей Делириума паранойи, Escarabajo de delirio de paranoia, สคารับเดลิเรียม แห่งความหวาดระแวง, delirium-scarab-of-paranoia
Simulacrum, Simulacre, Simulacrum, シミュラクラム, Simulacrum, Симулякр, Simulacro, เมืองจำแลง, simulacrum
Deafening Essence of Hatred, Essence assourdissante de Haine, Ohrenbetäubende Essenz des Hasses, 慟哭のエッセンス（憎悪）, Essência do Ódio Ensurdecedora, Оглушающая сущность ненависти, Esencia ensordecedora de odio, Deafening Essence of Hatred, deafening-essence-of-hatred
Breach Scarab, Scarabée de Brèche, Riss-Skarabäus , ブリーチスカラベ, Escaravelho da Fenda, Скарабей Разлома, Escarabajo de fisura, สคารับบรีช, breach-scarab
River Rune, Rune de la Rivière, Flussrune, 川のルーン, Runa Fluvial, Руна Реки, Runa de río, อักขระแม่น้ำ, river-rune
