// Currency Translations
// Order: English, French, German, Japanese, Portuguese, Russian, Spanish, Thai

Blazing Fragment, Fragment brûlant, Brennendes Fragment, 焔光の断片, Fragmento Escaldante, Пылающий фрагмент, Fragmento ardiente, ชิ้นส่วนลุกโชน
Blessed Orb, Orbe béni, Gesegnete Sphäre, 祝福のオーブ, Orbe Abençoado, Благодатная сфера, Orbe bendito, Blessed Orb
Blessing of Chayula, Bénédiction de Chayula, Chayulas Segnung, チャユラの祝福, Bênção de Chayula, Благословение Чаюлы, Bendición de Chayula, พรแห่งชายูล่า
Blessing of Esh, Bénédiction d'Esh, Eshs Segnung, エシュの祝福, Bênção de Esh, Благословение Иш, Bendición de Esh, พรแห่งเอ็ช
Blessing of Tul, Bénédiction de Tul, Tuls Segnung, トゥルの祝福, Bênção de Tul, Благословение Тул, Bendición de Tul, พรแห่งทุล
Blessing of Uul-Netol, Bénédiction d'Uul-Netol, Uul-Netols Segnung, ウール・ネトルの祝福, Bênção de Uul-Netol, Благословение Уул-Нетол, Bendición de Uul-Netol, พรแห่งอูล-เนโทล
Blessing of Xoph, Bénédiction de Xoph, Xophs Segnung, ゾフの祝福, Bênção de Xoph, Благословение Ксофа, Bendición de Xoph, พรแห่งซอปห์
Blight Scarab of Blooming, Scarabée de l'Infestation de la Floraison, Befall-Skarabäus der Blüte, 全盛のブライトスカラベ, Escaravelho da Infestação do Florescer, Скарабей Скверны цветения, Escarabajo de plaga de florecimiento, สคารับไบล์ท แห่งการเบ่งบาน
Blight Scarab of Bounty, Scarabée de l'Infestation de la Générosité, Befall-Skarabäus des Kopfgelds, 報奨のブライトスカラベ, Escaravelho da Infestação da Abundância, Скарабей Скверны щедрости, Escarabajo de plaga de recompensa, สคารับไบล์ท แห่งความเอื้อเฟื้อ
Blight Scarab of Invigoration, Scarabée de l'Infestation de la Revigoration, Befall-Skarabäus der Kräftigung, 活性化のブライトスカラベ, Escaravelho da Infestação Revigorante, Скарабей Скверны воодушевления, Escarabajo de plaga de vigorización, สคารับไบล์ท แห่งการหล่อเลี้ยงชีวิต
Blight Scarab of the Blightheart, Scarabée de l'Infestation du Cœur infesté, Befall-Skarabäus des befallenen Herzens, ブライトハートのブライトスカラベ, Escaravelho da Infestação do Coração Infestado, Скарабей Скверны сердцевины, Escarabajo de plaga de corazón infestado, สคารับไบล์ท แห่งหัวใจไบล์ท
Blight Scarab, Scarabée de l'Infestation, Befall-Skarabäus, ブライトスカラベ, Escaravelho da Infestação, Скарабей Скверны, Escarabajo de plaga, สคารับไบล์ท
Blighted Delirium Orb, Orbe infesté de Délire, Befallene Sphäre des Deliriums, 荒廃したデリリウムオーブ, Orbe Delirante Infestado, Заражённая сфера Делириума, Orbe de delirio infestado, ลูกแก้วเดลิเรียมเชื้อราร้าย
Blighted Incubator, Incubateur infesté, Befallener Inkubator, 荒廃したインキュベーター, Incubador Infestado, Заражённый инкубатор, Incubadora infestada, ตัวบ่มฟักเชื้อราร้าย
Bloodstained Fossil, Fossile taché de sang, Blutbeflecktes Fossil, 血塗れの化石, Fóssil Ensanguentado, Окровавленное ископаемое, Fósil ensangrentado, Bloodstained Fossil
Bound Fossil, Fossile uni, Verbundenes Fossil, 縛られた化石, Fóssil Colado, Связующее ископаемое, Fósil ligado, Bound Fossil
Bound Rune, Rune du Lien, Bindungsrune, 縛のルーン, Runa Limitante, Руна Единства, Runa de vinculación, อักขระตรึง
Bounty Rune, Rune de l'Abondance, Gabenrune, 賜のルーン, Runa Recompensadora, Руна Щедрости, Runa de botín, อักขระมั่งมี
Breach Scarab of Lordship, Scarabée de Brèche de la Seigneurie, Riss-Skarabäus der Herrschaft, 支配のブリーチスカラベ, Escaravelho da Fenda da Senhoria, Скарабей Разлома владений, Escarabajo de fisura de señoría, สคารับบรีช แห่งผู้เป็นลอร์ด
Breach Scarab of Resonant Cascade, Scarabée de Brèche de la Cascade résonante, Riss-Skarabäus der Resonanzkaskade, 共鳴するカスケードのブリーチスカラベ, Escaravelho da Fenda da Cascata Ressonadora, Скарабей Разлома резонирующего каскада, Escarabajo de fisura de cascada resonante, สคารับบรีช แห่งพลังแหวกมิติ
Breach Scarab of Snares, Scarabée de Brèche du Guet-apens, Riss-Skarabäus der Fallen, 罠のブリーチスカラベ, Escaravelho da Fenda dos Aprisionamentos, Скарабей Разлома ловушек, Escarabajo de fisura de trampas, สคารับบรีช แห่งหลุมพราง
Breach Scarab of Splintering, Scarabée de Brèche des Esquilles, Riss-Skarabäus des Splitterns, 裂断のブリーチスカラベ, Escaravelho da Fenda da Fragmentação, Скарабей Разлома расщепления, Escarabajo de fisura de astillamiento, สคารับบรีช แห่งการแตกเศษ
Breach Scarab of the Dreamer, Scarabée de Brèche du Rêveur, Riss-Skarabäus des Träumers, 夢見し者のブリーチスカラベ, Escaravelho da Fenda do Sonhador, Скарабей Разлома мечтателя, Escarabajo de fisura del soñador, สคารับบรีช แห่งผู้ฝันใฝ่
Breach Scarab, Scarabée de Brèche, Riss-Skarabäus , ブリーチスカラベ, Escaravelho da Fenda, Скарабей Разлома, Escarabajo de fisura, สคารับบรีช
Burial Medallion, Médaillon funéraire, Grabmedaillon, 副葬品のメダリオン, Medalhão Funerário, Погребальный медальон, Medallón funerario, เหรียญฝังศพ
Cartographer's Chisel, Burin de cartographe, Meißel des Kartographen, 地図職人のたがね, Cinzel do Cartógrafo, Резец картографа, Cincel del cartógrafo, สิ่วนักเขียนแผนที่
Cartographer's Delirium Orb, Orbe cartographique de Délire, Gemeißelte Sphäre des Deliriums, 地図職人のデリリウムオーブ, Orbe Delirante do Cartógrafo, Картографическая сфера Делириума, Orbe de delirio del cartógrafo, ลูกแก้วเดลิเรียมนักเขียนแผนที่
Cartographer's Incubator, Incubateur cartographique, Inkubator des Kartographen, 地図職人のインキュベーター, Incubador do Cartógrafo, Инкубатор картографа, Incubadora del cartógrafo, ตัวบ่มฟักนักเขียนแผนที่
Cartography Scarab of Corruption, Scarabée de Cartographie de la Corruption, Kartographie-Skarabäus der Verderbtheit, 穢れの地図製作のスカラベ, Escaravelho da Cartografia do Corrompimento, Скарабей картографии осквернения, Escarabajo de cartografía de corrupción, สคารับแผนที่ แห่งมลทิน
Cartography Scarab of Escalation, Scarabée de Cartographie de l'Escalade, Kartographie-Skarabäus der Eskalation, 増大の地図製作のスカラベ, Escaravelho da Cartografia do Escalonamento, Скарабей картографии эскалации, Escarabajo de cartografía de escalada, สคารับแผนที่ แห่งการยกระดับ
Cartography Scarab of Risk, Scarabée de Cartographie du Risque, Kartographie-Skarabäus des Risikos, リスクの地図製作のスカラベ, Escaravelho da Cartografia do Risco, Скарабей картографии риска, Escarabajo de cartografía de riesgo, สคารับแผนที่ แห่งความเสี่ยง
Cartography Scarab of Singularity, Scarabée de Cartographie de la Singularité, Kartographie-Skarabäus der Singularität, 特異点の地図製作のスカラベ, Escaravelho da Cartografia da Singularidade, Скарабей картографии неповторимости, Escarabajo de cartografía de singularidad, สคารับแผนที่ แห่งเอกเทศ
Celestial Blacksmith's Incubator, Incubateur du forgeron céleste, Himmlischer Inkubator des Schmieds, 天上の鍛冶屋のインキュベーター, Incubador Celestial do Ferreiro, Небесный инкубатор кузнеца, Incubadora celestial del Herrero, ตัวบ่มฟักช่างตีเหล็กดวงดาว
Celestial Jeweller's Incubator, Incubateur du joaillier céleste, Himmlischer Inkubator des Goldschmieds, 天上の宝飾職人のインキュベーター, Incubador Celestial do Joalheiro, Небесный инкубатор ювелира, Incubadora celestial del joyero, ตัวบ่มฟักช่างอัญมณีดวงดาว
Challenging Delirium Orb, Orbe complexe de Délire, Herausfordernde Sphäre des Deliriums, 挑戦のデリリウムオーブ, Orbe Delirante Desafiador, Испытующая сфера Делириума, Orbe de delirio desafiante, ลูกแก้วเดลิเรียมท้าทาย
Challenging Incubator, Incubateur complexe, Herausfordernder Inkubator, 挑戦のインキュベーター, Incubador Desafiador, Испытующий инкубатор, Incubadora desafiante, ตัวบ่มฟักท้าทาย
Chaos Orb, Orbe du chaos, Chaossphäre, 混沌のオーブ, Orbe do Caos, Сфера хаоса, Orbe de caos, Chaos Orb
Chaos Shard, Éclat de chaos, Chaosscherbe, 混沌の欠片, Lasca do Caos, Осколок хаоса, Esquirla de caos, ชิ้นส่วน Chaos
Chayula's Breachstone, Pierre de Brèche de Chayula, Chayulas Riss-Stein, チャユラのブリーチストーン, Pedra da Fenda de Chayula, Камень Разлома Чаюлы, Piedra de fisura de Chayula, ศิลาบรีชแห่งชายูล่า
Chayula's Flawless Breachstone, Pierre de Brèche parfaite de Chayula, Chayulas makelloser Riss-Stein, チャユラの極限ブリーチストーン, Pedra de Fenda Impecável de Chayula, Безупречный камень Разлома Чаюлы, Piedra de fisura perfecta de Chayula, ศิลาบรีชไร้ที่ติแห่งชายูล่า
Chromatic Orb, Orbe chromatique, Färbungssphäre, 色彩のオーブ, Orbe Cromático, Цветная сфера, Orbe cromático, Chromatic Orb
Clear Oil, Huile limpide, Klares Öl, 澄んだオイル, Óleo Claro, Прозрачное масло, Aceite claro, Clear Oil
Cooperation, Coopération, Kooperation, 協調, Cooperação, Сотрудничество, Cooperación, Cooperation
Corroded Fossil, Fossile corrodé, Korrodiertes Fossil, 腐食した化石, Fóssil Corroído, Пористое ископаемое, Fósil corroído, Corroded Fossil
Cosmic Fragment, Fragment cosmique, Kosmisches Fragment, 宇宙の断片, Fragmento Cósmico, Космический фрагмент, Fragmento cósmico, ชิ้นส่วนจักรวาล
Cosmic Reliquary Key, Clé du Reliquaire cosmique, Schlüssel zur Kosmischen Reliquienkammer, 宇宙の聖廟の鍵, Chave do Relicário Cósmico, Ключ от Космического Реликвария, Llave del Relicario cósmico, กุญแจคลังวัตถุโบราณจักรวาล
Crescent Splinter, Esquille falciforme, Halbmond-Splitter, 三日月の破片, Fragmento Crescente, Серповидный осколок, Fragmento creciente, ชิ้นส่วนจันทร์เสี้ยว
Crimson Oil, Huile carmin, Blutrotes Öl, 深紅色のオイル, Óleo Rubro, Алое масло, Aceite carmín, Crimson Oil
Crusader's Exalted Orb, Orbe exalté du Croisé, Erhabene Sphäre des Kreuzritters, クルセイダーの高貴なオーブ, Orbe Exaltado do Cruzado, Сфера возвышения крестоносца, Orbe exaltado del Cruzado, Crusader's Exalted Orb
Curiosity, Curiosité, Neugier, 好奇心, Curiosidade, Любопытство, Curiosidad, Curiosity
Deafening Essence of Anger, Essence assourdissante de Colère, Ohrenbetäubende Essenz der Wut, 慟哭のエッセンス（怒り）, Essência da Cólera Ensurdecedora, Оглушающая сущность злобы, Esencia ensordecedora de rabia, Deafening Essence of Anger
Deafening Essence of Anguish, Essence assourdissante d'Angoisse, Ohrenbetäubende Essenz der Qual, 慟哭のエッセンス（苦悶）, Essência da Agonia Ensurdecedora, Оглушающая сущность горя, Esencia ensordecedora de angustia, Deafening Essence of Anguish
Deafening Essence of Contempt, Essence assourdissante de Dédain, Ohrenbetäubende Essenz der Verachtung, 慟哭のエッセンス（侮蔑）, Essência da Desgraça Ensurdecedora, Оглушающая сущность презрения, Esencia ensordecedora de desprecio, Deafening Essence of Contempt
Deafening Essence of Doubt, Essence assourdissante d'Incertitude, Ohrenbetäubende Essenz des Zweifels, 慟哭のエッセンス（疑心）, Essência da Hesitação Ensurdecedora, Оглушающая сущность сомнения, Esencia ensordecedora de duda, Deafening Essence of Doubt
Deafening Essence of Dread, Essence assourdissante d'Effroi, Ohrenbetäubende Essenz der Furcht, 慟哭のエッセンス（恐怖）, Essência do Pavor Ensurdecedora, Оглушающая сущность жути, Esencia ensordecedora de terror, Deafening Essence of Dread
Deafening Essence of Envy, Essence assourdissante de Convoitise, Ohrenbetäubende Essenz des Neids, 慟哭のエッセンス（嫉妬）, Essência da Inveja Ensurdecedora, Оглушающая сущность зависти, Esencia ensordecedora de envidia, Deafening Essence of Envy
Deafening Essence of Fear, Essence assourdissante de Peur, Ohrenbetäubende Essenz der Angst, 慟哭のエッセンス（不安）, Essência do Medo Ensurdecedora, Оглушающая сущность страха, Esencia ensordecedora de miedo, Deafening Essence of Fear
Deafening Essence of Greed, Essence assourdissante d'Avarice, Ohrenbetäubende Essenz der Gier, 慟哭のエッセンス（貪欲）, Essência da Ganância Ensurdecedora, Оглушающая сущность жадности, Esencia ensordecedora de avaricia, Deafening Essence of Greed
Deafening Essence of Hatred, Essence assourdissante de Haine, Ohrenbetäubende Essenz des Hasses, 慟哭のエッセンス（憎悪）, Essência do Ódio Ensurdecedora, Оглушающая сущность ненависти, Esencia ensordecedora de odio, Deafening Essence of Hatred
Deafening Essence of Loathing, Essence assourdissante d'Aversion, Ohrenbetäubende Essenz der Abscheu, 慟哭のエッセンス（嫌悪）, Essência da Repugnância Ensurdecedora, Оглушающая сущность отвращения, Esencia ensordecedora de aversión, Deafening Essence of Loathing
Deafening Essence of Misery, Essence assourdissante de Détresse, Ohrenbetäubende Essenz des Elends, 慟哭のエッセンス（悲惨）, Essência da Miséria Ensurdecedora, Оглушающая сущность тоски, Esencia ensordecedora de miseria, Deafening Essence of Misery
Deafening Essence of Rage, Essence assourdissante de Rage, Ohrenbetäubende Essenz der Rage, 慟哭のエッセンス（激怒）, Essência da Raiva Ensurdecedora, Оглушающая сущность ярости, Esencia ensordecedora de furia, Deafening Essence of Rage
Deafening Essence of Scorn, Essence assourdissante de Mépris, Ohrenbetäubende Essenz des Gespötts, 慟哭のエッセンス（軽蔑）, Essência do Desprezo Ensurdecedora, Оглушающая сущность насмешки, Esencia ensordecedora de desdén, Deafening Essence of Scorn
Deafening Essence of Sorrow, Essence assourdissante de Chagrin, Ohrenbetäubende Essenz der Trauer, 慟哭のエッセンス（悲哀）, Essência da Mágoa Ensurdecedora, Оглушающая сущность печали, Esencia ensordecedora de pena, Deafening Essence of Sorrow
Deafening Essence of Spite, Essence assourdissante d'Acrimonie, Ohrenbetäubende Essenz der Bosheit, 慟哭のエッセンス（悪意）, Essência do Rancor Ensurdecedora, Оглушающая сущность неприязни, Esencia ensordecedora de rencor, Deafening Essence of Spite
Deafening Essence of Suffering, Essence assourdissante de Souffrance, Ohrenbetäubende Essenz des Leids, 慟哭のエッセンス（苦痛）, Essência do Sofrimento Ensurdecedora, Оглушающая сущность страдания, Esencia ensordecedora de sufrimiento, Deafening Essence of Suffering
Deafening Essence of Torment, Essence assourdissante de Tourment, Ohrenbetäubende Essenz der Folter, 慟哭のエッセンス（苦悩）, Essência do Tormento Ensurdecedora, Оглушающая сущность мучения, Esencia ensordecedora de tormento, Deafening Essence of Torment
Deafening Essence of Woe, Essence assourdissante d'Affliction, Ohrenbetäubende Essenz des Kummers, 慟哭のエッセンス（悲痛）, Essência da Angústia Ensurdecedora, Оглушающая сущность скорби, Esencia ensordecedora de aflicción, Deafening Essence of Woe
Deafening Essence of Wrath, Essence assourdissante de Fureur, Ohrenbetäubende Essenz des Zorns, 慟哭のエッセンス（憤怒）, Essência da Ira Ensurdecedora, Оглушающая сущность гнева, Esencia ensordecedora de ira, Deafening Essence of Wrath
Deafening Essence of Zeal, Essence assourdissante de Zèle, Ohrenbetäubende Essenz des Eifers, 慟哭のエッセンス（熱狂）, Essência do Zelo Ensurdecedora, Оглушающая сущность усердия, Esencia ensordecedora de fervor, Deafening Essence of Zeal
Decaying Fragment, Fragment de Décomposition, Zerfallendes Fragment, 崩壊の断片, Fragmento Decadente, Разлагающий фрагмент, Fragmento decadente, ชิ้นส่วนเสื่อมสลาย
Decaying Reliquary Key, Clé du Reliquaire délabré, Schlüssel zur Zerfallenden Reliquienkammer, 崩壊の聖廟の鍵, Chave do Relicário Decadente, Ключ от Разлагающегося Реликвария, Llave del Relicario de decaimiento, กุญแจคลังวัตถุโบราณเสื่อมสลาย
Dedication to the Goddess, Dévouement à la déesse, Hingabe an die Göttin, 女神への献身, Dedicação à Deusa, Посвящение богине, Consagración a la Diosa, เครื่องอุทิศแด่เทพี
Deft Fossil, Fossile léger, Gewandtes Fossil, 巧みな化石, Fóssil Hábil, Проворное ископаемое, Fósil hábil, Deft Fossil
